time,velocity
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
3.6,0
3.7,0
3.8,0
3.9,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
4.6,0
4.7,0
4.8,0
4.9,0
5,0
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
5.6,0
5.7,0
5.8,0
5.9,0
6,0
6.1,0
6.2,0
6.3,0
6.4,0
6.5,0
6.6,0
6.7,0
6.8,0
6.9,0
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,0
7.6,0
7.7,0
7.8,0
7.9,0
8,0
8.1,0
8.2,0
8.3,0
8.4,0
8.5,0
8.6,0
8.7,0
8.8,0
8.9,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
9.9,0
10,0
10.1,0
10.2,0
10.3,0
10.4,0
10.5,0
10.6,0
10.7,0
10.8,0
10.9,0
11,0
11.1,0
11.2,0
11.3,0
11.4,0
11.5,0
11.6,0
11.7,0
11.8,0
11.9,0
12,0
12.1,0
12.2,0
12.3,0
12.4,0
12.5,0
12.6,0
12.7,0
12.8,0
12.9,0
13,0
13.1,0
13.2,0
13.3,0
13.4,0
13.5,0
13.6,0
13.7,0
13.8,0
13.9,0
14,0
14.1,0
14.2,0
14.3,0
14.4,0
14.5,0
14.6,0
14.7,0
14.8,0
14.9,0
15,0
15.1,0
15.2,0
15.3,0
15.4,0
15.5,0
15.6,0
15.7,0
15.8,0
15.9,0
16,0
16.1,0
16.2,0
16.3,0
16.4,0
16.5,0
16.6,0
16.7,0
16.8,0
16.9,0
17,0
17.1,0
17.2,0
17.3,0
17.4,0
17.5,0
17.6,0
17.7,0
17.8,0
17.9,0
18,0
18.1,0
18.2,0
18.3,0
18.4,0
18.5,0
18.6,0
18.7,0
18.8,0
18.9,0
19,0
19.1,0
19.2,0
19.3,0
19.4,0
19.5,0
19.6,0
19.7,0
19.8,0
19.9,0
20,0
20.0002014,0.000972377
20.00060421,0.002917132
20.00100701,0.004861887
20.00167457,0.008084878
20.00293365,0.014163754
20.00419273,0.020242629
20.00525207,0.025357183
20.00631142,0.030471737
20.00737077,0.035586291
20.00843011,0.040700845
20.01006419,0.048590252
20.01090635,0.052656202
20.01141038,0.055089694
20.01191442,0.057523187
20.01241845,0.059956679
20.01308742,0.063186492
20.01494603,0.072159928
20.01554388,0.075046334
20.01614172,0.077932739
20.01658206,0.080058696
20.01702239,0.082184653
20.01746273,0.08431061
20.01807714,0.087277019
20.01869156,0.090243427
20.01901726,0.091815931
20.01934296,0.093388436
20.01964045,0.094824728
20.01993794,0.096261021
20.02023543,0.097697313
20.02172288,0.104878776
20.02228504,0.107592886
20.02253295,0.108789819
20.02253295,0.108789819
20.0225853,0.109042547
20.02268999,0.109548003
20.02312202,0.11163383
20.024201,0.116843186
20.02714592,0.131061358
20.03009084,0.14527953
20.03374397,0.162916961
20.0373971,0.180554392
20.04105023,0.198191823
20.04470336,0.215829254
20.04943055,0.238652295
20.05415775,0.261475336
20.05426372,0.261986957
20.05426372,0.261986957
20.05598656,0.270304895
20.05943224,0.286940772
20.0628174,0.30328442
20.0628174,0.30328442
20.06374029,0.307740177
20.06558608,0.316651689
20.06743186,0.325563202
20.07044901,0.340130084
20.07507193,0.362449697
20.07969485,0.38476931
20.08431778,0.407088923
20.0889407,0.429408535
20.09356362,0.451728148
20.09818654,0.474047761
20.10280946,0.496367374
20.10743238,0.518686987
20.11205531,0.5410066
20.11667823,0.563326212
20.12130115,0.585645825
20.12919899,0.623776876
20.13509565,0.652246127
20.14099231,0.680715377
20.14555336,0.702736257
20.1501144,0.724757136
20.15467545,0.746778015
20.1592365,0.768798894
20.16379754,0.790819773
20.16567066,0.799863239
20.16567066,0.799863239
20.16714275,0.806970552
20.17008694,0.821185177
20.17303112,0.835399803
20.17741034,0.856542798
20.18043905,0.871165499
20.18346776,0.8857882
20.19038933,0.919205772
20.1973109,0.952623345
20.20423247,0.986040917
20.20974018,1.012632313
20.21524789,1.039223709
20.2207556,1.065815105
20.22626331,1.092406501
20.23324557,1.126117059
20.24332642,1.174787726
20.25340727,1.223458392
20.25996635,1.255125851
20.26652543,1.286793309
20.27308451,1.318460768
20.2796436,1.350128227
20.28620268,1.381795685
20.29564937,1.427404597
20.30442877,1.469791832
20.31320817,1.512179067
20.32198757,1.554566302
20.33076697,1.596953537
20.33954638,1.639340772
20.34832578,1.681728007
20.36057374,1.740861542
20.3728217,1.799995077
20.38506965,1.859128612
20.39439023,1.904128669
20.40371081,1.949128725
20.41579718,2.007482107
20.42743231,2.063656849
20.43906743,2.119831591
20.45070255,2.176006333
20.46233767,2.232181075
20.47639957,2.300072389
20.49004823,2.365968517
20.5,2.414016
20.50329717,2.429934862
20.50989152,2.461772585
20.51842705,2.502982378
20.53406713,2.578493187
20.55471865,2.678199393
20.5712118,2.757828825
20.58770494,2.837458257
20.60760938,2.933557546
20.63171852,3.049957248
20.65582766,3.166356951
20.67993681,3.282756653
20.71056915,3.430650618
20.73462391,3.546787758
20.76362351,3.686798747
20.79262311,3.826809736
20.82162271,3.966820726
20.85062231,4.106831715
20.8796219,4.246842704
20.93706881,4.524198178
